model,pr_auc,pr_auc_lift,roc_auc,precision,recall,f1,alerts,true_positives,false_positives,false_negatives,precision_at_100,review_hours,review_hours_per_fraud_found,threshold_name,threshold_is_oracle
Logistic Regression (supervised ceiling),0.7779533789667982,590.8504049694234,0.9813979761046754,0.2277580071174377,0.8533333333333334,0.3595505617977528,281,64,217,11,0.59,7.025,0.109765625,budget@0.50%,False
Autoencoder (trained on normals),0.2873428655688308,218.2349907804232,0.9203972788158983,0.2523364485981308,0.72,0.3737024221453287,214,54,160,21,0.34,5.35,0.09907407407407406,budget@0.50%,False
Isolation Forest (trained on normals),0.0897524657637076,68.16639939776417,0.9491837033651507,0.14957264957264957,0.4666666666666667,0.22653721682847897,234,35,199,40,0.11,5.85,0.16714285714285712,budget@0.50%,False
Autoencoder (fully unsupervised),0.0852457607437126,64.74358697977809,0.9437183656488594,0.16279069767441862,0.28,0.20588235294117646,129,21,108,54,0.19,3.225,0.15357142857142858,budget@0.50%,False
Isolation Forest (fully unsupervised),0.07592702809202319,57.66607165570433,0.9490283075805251,0.12307692307692308,0.32,0.17777777777777778,195,24,171,51,0.1,4.875,0.203125,budget@0.50%,False
Random (floor),0.0012491069250158433,0.9486883821700328,0.4617631444794066,0.0,0.0,0.0,291,0,291,75,0.0,7.275,inf,budget@0.50%,False
